title,url,source,published,parsed_time,scraped_at
Big Oil forced to confront some tough choices as 'monster profits' fade into memory,https://www.cnbc.com/2025/10/13/big-oil-to-confront-tough-choices-as-mega-profits-fade-into-memory.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
"Asia markets rise, breaking ranks with Wall Street's declines on renewed U.S.-China trade feud",https://www.cnbc.com/2025/10/15/asia-pacific-markets-nikkei-225-kospi-hang-seng-index-nifty-50.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
European stocks end lower; auto stocks fall as Michelin shares drag down index,https://www.cnbc.com/2025/10/14/european-markets-on-weds-oct-stoxx-600-ftse-dax-cac.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
CNBC Daily Open: Trump has the last word on U.S. stocks,https://www.cnbc.com/2025/10/15/cnbc-daily-open-trump-has-the-last-word-on-us-stocks.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
European markets rise as mining stocks rebound amid U.S.-China trade spat,https://www.cnbc.com/2025/10/13/european-markets-on-mon-oct-13-stoxx-600-dax-cac-ftse.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
Shares of SK Hynix and Samsung Electronics hit record highs on AI boost,https://www.cnbc.com/2025/10/10/asia-pacific-markets-friday-nikkei-225-kospi.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
Will the bull market make it to a fourth year? — Learn top strategies at Pro Live,https://www.cnbc.com/2025/09/10/relentless-bull-market-booming-ai-inflation-threat-learn-the-best-2026-strategies-at-pro-live.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
"Stocks making the biggest moves midday: Albertsons, Nova Minerals, Wells Fargo, Polaris & more",https://www.cnbc.com/2025/10/14/stocks-making-the-biggest-moves-midday-aci-nva-wfc-pii.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
"Stocks making the biggest moves premarket: JPMorgan, Goldman Sachs, General Motors more",https://www.cnbc.com/2025/10/14/stocks-making-the-biggest-moves-premarket-jpm-gs-gm-uuuu.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
"Stocks making big moves midday: Broadcom, Bloom Energy, Critical Metals and more",https://www.cnbc.com/2025/10/13/stocks-making-big-midday-moves-avgo-be-crml-fast.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
"Stocks making the biggest moves premarket: USA Rare Earth, Estee Lauder and more",https://www.cnbc.com/2025/10/13/stocks-making-the-biggest-moves-premarket-usar-el-rocket-lab-and-more.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
"Stocks making big moves midday: MP Materials, Alibaba, Protagonist Therapeutics",https://www.cnbc.com/2025/10/10/stocks-making-the-biggest-moves-midday-mp-bab-ptgx.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
Sell in May? Don't get taken in by seasonal trading patterns,https://www.cnbc.com/2025/04/30/sell-in-may-dont-get-taken-in-by-seasonal-trading-patterns.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
Recent chaos shows investors are better off avoiding market timing,https://www.cnbc.com/2025/04/24/recent-chaos-shows-investors-are-better-off-avoiding-market-timing.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
Here's why traders figure that  a 20% drop in stocks makes a 'bear market',https://www.cnbc.com/2025/04/08/how-20percent-declines-in-stocks-came-to-be-known-as-bear-markets-on-wall-street.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
U.S. stocks bearing the brunt of trillions in market value losses around the globe,https://www.cnbc.com/2025/04/06/significant-losses-in-global-markets-but-the-damage-is-uneven.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
"Salesforce CEO says its AI program Agentforce is ""part and parcel"" of the company",https://www.cnbc.com/2025/10/14/salesforce-ceo-agentforce.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
CarMax stock crashes after 'challenging' second-quarter earnings,https://www.cnbc.com/video/2025/09/25/carmax-stock-crashes-after-challenging-second-quarter-earnings.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
Markets have 'room to run' despite pullback: Bryn Mawr Trust Advisors' Davis,https://www.cnbc.com/video/2025/09/25/markets-have-room-to-run-despite-pullback-bryn-mawr-trust-advisors-davis.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
"Costco beats earnings, revenue estimates",https://www.cnbc.com/video/2025/09/25/costco-beats-earnings-revenue-estimates.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
"‘Bubblicious’ used car prices are rising faster than bitcoin, market researcher Jim Bianco warns",https://www.cnbc.com/2021/12/26/bubblicious-used-car-prices-rising-faster-than-bitcoin-jim-bianco-warns-.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
Two stocks on the market’s ‘naughty list’ could be set for a 2022 comeback,https://www.cnbc.com/2021/12/24/stocks-on-markets-naughty-list-could-be-set-for-a-2022-comeback.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
"This sector is 2022's 'sneaky catch-up play,' trader says. Two stocks he'd buy",https://www.cnbc.com/2021/12/23/communications-stocks-netflix-roblox-catch-up-plays-for-2022-trader.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
Pre-Markets,https://www.cnbc.com/pre-markets/,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
Inside the alternative investments boom: Here’s what you need to know,https://www.cnbc.com/video/2025/10/14/inside-the-alternative-investments-boom-hereas-what-you-need-to-know.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
The 'Halftime' Investment Committee discusses whether you can bank on financials,https://www.cnbc.com/video/2025/10/14/the-halftime-investment-committee-discusses-whether-you-can-bank-on-financials.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
"Bull markets are never linear, says Franklin Templeton CEO",https://www.cnbc.com/video/2025/10/14/bull-markets-are-never-linear-says-franklin-templeton-ceo.html,CNBC,Recent,2025-10-14 21:02:11,2025-10-14 21:02:11
